"Indikator","Ausprägung","Jahr","id","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Bevölkerungsdichte","insgesamt",2022,"00","Stadt München",5112,1588330,310.7,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"01","Altstadt - Lehel",6614,20808,3.1,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"02","Ludwigsvorstadt - Isarvorstadt",11567,50915,4.4,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"03","Maxvorstadt",12161,52269,4.3,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"04","Schwabing - West",15723,68603,4.4,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"05","Au - Haidhausen",15020,63383,4.2,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"06","Sendling",10412,41011,3.9,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"07","Sendling - Westpark",7895,61702,7.8,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"08","Schwanthalerhöhe",14001,28986,2.1,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"09","Neuhausen - Nymphenburg",7781,100495,12.9,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"10","Moosach",5026,55761,11.1,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"11","Milbertshofen - Am Hart",5739,76998,13.4,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"12","Schwabing - Freimann",3081,79092,25.7,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"13","Bogenhausen",3977,94317,23.7,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"14","Berg am Laim",7466,47148,6.3,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"15","Trudering - Riem",3385,76002,22.5,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
"Bevölkerungsdichte","insgesamt",2022,"16","Ramersdorf - Perlach",6010,119572,19.9,NA,NA,NA,"Hauptwohnsitzbevölkerung (insgesamt)","Fläche in km²",NA,NA,NA
