HstNummer;stop_name;Ort;Globale ID;Latitude;Longitude
1;Karlsplatz (Stachus);München;de:09162:1;48,13936537;11,56538647
2;Marienplatz;München;de:09162:2;48,13643422;11,57765115
3;Isartor;München;de:09162:3;48,13388994;11,58281763
4;Rosenheimer Platz;München;de:09162:4;48,12858746;11,59388958
5;Ostbahnhof;München;de:09162:5;48,12813726;11,60406235
6;Hauptbahnhof (S, U, Bus, Tram);München;de:09162:6;48,14031142;11,56110561
7;Hackerbrücke;München;de:09162:7;48,14353731;11,54876929
8;Donnersbergerbrücke;München;de:09162:8;48,14267154;11,53461386
9;Laim;München;de:09162:9;48,1431247;11,50317942
10;Pasing;München;de:09162:10;48,14883279;11,46063024
11;Leonrodplatz;München;de:09162:11;48,15945926;11,54742011
12;Hochschule München (Lothstr.);München;de:09162:12;48,15426811;11,55382302
13;Sandstraße;München;de:09162:13;48,15057935;11,55810182
15;Karlstraße;München;de:09162:15;48,14477549;11,55962974
16;Lenbachplatz;München;de:09162:16;48,1408603;11,56831656
17;Nationaltheater;München;de:09162:17;48,13936067;11,57863492
18;Kammerspiele;München;de:09162:18;48,13852242;11,58306231
19;Maxmonument;München;de:09162:19;48,13755122;11,58808181
20;Theatinerstraße;München;de:09162:20;48,13948332;11,57530165
21;Maximilianeum;München;de:09162:21;48,13606823;11,59595351
22;Flurstraße;München;de:09162:22;48,13562229;11,60479759
23;Grillparzerstraße;München;de:09162:23;48,13631159;11,60913205
25;Alter Messeplatz;München;de:09162:25;48,13455213;11,54628178
26;Isartor/Zweibrückenstraße;München;de:09162:26;48,13276857;11,58359248
27;Ridlerstraße;München;de:09162:27;48,13066597;11,53923611
29;Landshuter Allee;München;de:09162:29;48,15171026;11,53693796
30;Poccistraße;München;de:09162:30;48,12508618;11,54961578
31;Hirschgarten;München;de:09162:31;48,14351766;11,51947547
32;Hochschule München;München;de:09162:32;48,15539021;11,55328912
34;Nordbad;München;de:09162:34;48,16092396;11,56340341
35;Görresstraße;München;de:09162:35;48,15598202;11,56219528
36;Georgenstraße;München;de:09162:36;48,15516157;11,58345191
38;Müllerstraße;München;de:09162:38;48,13136624;11,57151281
40;Goetheplatz;München;de:09162:40;48,12954498;11,55840296
41;Eduard-Schmid-Straße;München;de:09162:41;48,1262655;11,57841949
42;Mariahilfplatz;München;de:09162:42;48,12435058;11,58106793
43;Kurfürstenplatz;München;de:09162:43;48,16033771;11,5749685
44;Winzererstraße;München;de:09162:44;48,15769165;11,56007047
45;Infanteriestraße Süd;München;de:09162:45;48,15649999;11,55888439
46;Haidenauplatz;München;de:09162:46;48,13244758;11,61006145
47;Elisabethplatz;München;de:09162:47;48,15763984;11,57500419
48;Nordendstraße;München;de:09162:48;48,15488035;11,57540328
49;Schellingstraße;München;de:09162:49;48,15102326;11,57325784
